pathway,SYM
Canonical,ADAR
Canonical,CCL5
Canonical,CXCL10
Canonical,CXCL11
Canonical,DDX60
Canonical,IFI27
Canonical,IFI35
Canonical,IFI44
Canonical,IFI44L
Canonical,IFI6
Canonical,IFIH1
Canonical,IFIT1
Canonical,IFIT2
Canonical,FIT3
Canonical,IFIT5
Canonical,IFITM1
Canonical,IFITM3
Canonical,IL1A
Canonical,IRF7
Canonical,ISG15
Canonical,ISG20
Canonical,MX1
Canonical,OAS1
Canonical,OAS2
Canonical,OAS3
Canonical,PARP9
Canonical,SAMD9L
Canonical,STAT1
Canonical,STAT2
Non-canonical,CCL2
Non-canonical,CMPK2
Non-canonical,CMTM4
Non-canonical,EIF2AK2
Non-canonical,GBP1
Non-canonical,GSDMB
Non-canonical,HERC5
Non-canonical,HERC6
Non-canonical,LGALS3BP
Non-canonical,PARP10
Non-canonical,PARP11
Non-canonical,PARP12
Non-canonical,PARP14
Non-canonical,PARP9
Non-canonical,PLVAP
Non-canonical,RNF213
Non-canonical,SERPING1
Non-canonical,SLC25A28
Non-canonical,XAF1
Non-canonical,ZBP1
Non-canonical,ZC3HAV1
Non-canonical,ZNFX1
Inflammation,CASP1
Inflammation,CGAS
Inflammation,FASLG
Inflammation,IKBKE
Inflammation,JUN
Inflammation,NFKB1
Inflammation,NLRP3
Inflammation,PYCARD
Inflammation,STING1
Inflammation,TNF
Inflammation,TNFAIP6
Inflammation,TNFRSF1B
Inflammation,TNFRSF9
Inflammation,TNFSF10
Inflammation,TNFSF15
Inflammation,TNFSF9
Antigen Presentation,HLA-A
Antigen Presentation,HLA-B
Antigen Presentation,HLA-C
Antigen Presentation,HLA-H
Antigen Presentation,TAP1
