pathway,SYM
AGT Regulator Axis,ACE
AGT Regulator Axis,ACE2
AGT Regulator Axis,AGT
AGT Regulator Axis,AGTR1
AGT Regulator Axis,AGTR2
AGT Regulator Axis,ANGPT1
AGT Regulator Axis,CMA1
AGT Regulator Axis,CPA3
AGT Regulator Axis,CTSA
AGT Regulator Axis,MAS1
AGT Regulator Axis,REN
AGT Regulator Axis,TMPRSS2
NADPH Oxidase,DUOX1
NADPH Oxidase,DUOX2
NADPH Oxidase,NOX1
NADPH Oxidase,NOX4
NADPH Oxidase,NOX5
PANoptosis,CASP3
PANoptosis,CASP7
PANoptosis,CASP8
PANoptosis,FADD
PANoptosis,GSDMB
PANoptosis,GSDMC
PANoptosis,GSDMD
PANoptosis,MLKL
PANoptosis,RIPK1
PANoptosis,RIPK3
PANoptosis,ZBP1
Complement activation / Fibrin deposition,C1QA
Complement activation / Fibrin deposition,C1R
Complement activation / Fibrin deposition,C5AR1
Complement activation / Fibrin deposition,F12
Complement activation / Fibrin deposition,F13A1
Complement activation / Fibrin deposition,FGA
Complement activation / Fibrin deposition,FGB
Complement activation / Fibrin deposition,FGG
Complement activation / Fibrin deposition,MYOF
Complement activation / Fibrin deposition,PLG
Complement activation / Fibrin deposition,PLVAP
Complement activation / Fibrin deposition,SERPINC1
Complement activation / Fibrin deposition,SERPINE1
Complement activation / Fibrin deposition,SERPINF2
Complement activation / Fibrin deposition,SERPING1
Complement activation / Fibrin deposition,TGFB1
Complement activation / Fibrin deposition,THBD
Syndecans,SDC1
Syndecans,SDC2
Syndecans,SDC3
Syndecans,SDC4
Hyaluronan Accumulation,HAS1
Hyaluronan Accumulation,HAS2
Hyaluronan Accumulation,HAS3
Hyaluronan Accumulation,HMMR
Hyaluronan Accumulation,HYAL1
Hyaluronan Accumulation,HYAL2
Bradykinin Production,BDKRB1
Bradykinin Production,BDKRB2
Bradykinin Production,CPN1
Bradykinin Production,HS3ST6
Bradykinin Production,KLK1
Bradykinin Production,KLK2
Bradykinin Production,KLK3
Bradykinin Production,KLK4
Bradykinin Production,KLK5
Bradykinin Production,KLK6
Bradykinin Production,KLK7
Bradykinin Production,KLK8
Bradykinin Production,KLK9
Bradykinin Production,KLK10
Bradykinin Production,KLK11
Bradykinin Production,KLK12
Bradykinin Production,KLK13
Bradykinin Production,KLK14
Bradykinin Production,KLK15
Bradykinin Production,KLKB1
Bradykinin Production,KNG1
